YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,ANOMALY.LEVEL,CLIMATE.CATEGORY,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,HURRICANE.NAMES,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED,RES.PRICE,COM.PRICE,IND.PRICE,TOTAL.PRICE,RES.SALES,COM.SALES,IND.SALES,TOTAL.SALES,RES.PERCEN,COM.PERCEN,IND.PERCEN,RES.CUSTOMERS,COM.CUSTOMERS,IND.CUSTOMERS,TOTAL.CUSTOMERS,RES.CUST.PCT,COM.CUST.PCT,IND.CUST.PCT,PC.REALGSP.STATE,PC.REALGSP.USA,PC.REALGSP.REL,PC.REALGSP.CHANGE,UTIL.REALGSP,TOTAL.REALGSP,UTIL.CONTRI,PI.UTIL.OFUSA,POPULATION,POPPCT_URBAN,POPPCT_UC,POPDEN_URBAN,POPDEN_UC,POPDEN_RURAL,AREAPCT_URBAN,AREAPCT_UC,PCT_LAND,PCT_WATER_TOT,PCT_WATER_INLAND,OUTAGE.START,OUTAGE.RESTORATION,MONTH.NAME,duration_missing
2015,12,Missouri,MO,SERC,Central,2.3,warm,2015-12-31,11:00:00,,,intentional attack,sabotage,,,0,0,10.39,8.49,5.67,8.78,2804972.0,2404322.0,1222018.0,6433254.0,43.6011387083426,37.3733417023485,18.9953326885585,2734553.0,373622.0,10218.0,3118394.0,87.69106790225995,11.981231364606268,0.32766866534504624,42984.0,49844.0,0.862370596260332,0.9,4975.0,259820.0,1.91478716034177,1.8,6083672,70.44,13.83,2053.5,1510.1,26.6,2.99,0.8,98.6156340109315,1.38436598906853,1.38436598906853,2015-12-31 11:00:00,,Dec,True
2016,5,Missouri,MO,SERC,Central,0.6,warm,2016-05-24,08:00:00,,,intentional attack,vandalism,,,0,0,11.93,9.35,6.96,9.88,2058159.0,2437481.0,995835.0,5493089.0,37.4681531648222,44.3735938012291,18.1288706591137,2751460.0,376711.0,10169.0,3138342.0,87.67240791475244,12.003503760903051,0.3240245964270306,42736.0,50660.0,0.843584682195026,-0.6,5195.0,260309.0,1.99570510431833,1.8,6091176,70.44,13.83,2053.5,1510.1,26.6,2.99,0.8,98.6156340109315,1.38436598906853,1.38436598906853,2016-05-24 08:00:00,,May,True
2000,,Delaware,DE,RFC,Northeast,,,,,,,system operability disruption,,,,,,,,,,,,,,,,,335282.0,40616.0,553.0,377219.0,88.88258544771075,10.767220102911041,0.14659919039072794,64013.0,44745.0,1.43061794613923,2.1,1016.0,50338.0,2.01835591402122,0.4,786373,83.3,14.59,1838.3,1083.0,97.3,20.88,6.21,78.3045399758939,21.6954600241061,3.6560867818401,,,,True
2016,2,New York,NY,NPCC,Northeast,2.0,warm,2016-02-07,11:30:00,,,intentional attack,,,,,,16.76,13.36,6.1,13.64,4077986.0,6128584.0,1402362.0,11855894.0,34.3962758101582,51.6922975188543,11.8283952268804,7118901.0,1072896.0,7646.0,8199451.0,86.82167867092565,13.084973615916482,0.09325014564999534,64522.0,50660.0,1.27362810896171,0.9,18427.0,1279883.0,1.43974097632362,7.0,19836286,87.87,5.21,4161.4,1700.0,54.6,8.68,1.26,86.3825497204656,13.6174502795344,3.64586197415452,2016-02-07 11:30:00,,Feb,True
2016,5,Louisiana,LA,SERC,South,0.6,warm,2016-05-20,01:15:00,,,severe weather,,,,,57184,9.28,8.43,4.78,7.2,2011633.0,1952185.0,2707499.0,6672269.0,30.1491591541048,29.2581878818135,40.5783849542037,2059699.0,289780.0,19231.0,2368711.0,86.95442373510318,12.233657883971494,0.8118761638714053,44440.0,50660.0,0.877220686932491,-2.6,3809.0,208252.0,1.82903405489503,1.2,4686157,73.19,11.85,1685.8,1280.1,29.5,4.56,0.97,82.4850127916301,17.5149872083699,8.70976364122341,2016-05-20 01:15:00,,May,True
2002,10,Louisiana,LA,SPP,South,1.1,warm,2002-10-03,03:33:00,,,severe weather,hurricanes,Lily,,,242910,7.22,6.48,4.61,6.13,2543553.0,1925977.0,2429858.0,7154368.0,35.552448518164,26.920295405548,33.9632794958269,1848588.0,225718.0,15435.0,2110768.0,87.57892861745108,10.69364326159957,0.7312504263850883,42054.0,45097.0,0.93252322770916,1.1,4988.0,189128.0,2.63736728564782,1.4,4497267,73.19,11.85,1685.8,1280.1,29.5,4.56,0.97,82.4850127916301,17.5149872083699,8.70976364122341,2002-10-03 03:33:00,,Oct,True
2015,6,California,CA,WECC,West,1.0,warm,2015-06-08,00:00:00,,,fuel supply emergency,,,,176,,17.21,16.91,13.28,16.2,7192063.0,9942130.0,4693853.0,21901510.0,32.8382061328192,45.394723925428,21.4316410147063,13380684.0,1685688.0,148069.0,15214454.0,87.94718495977575,11.07951688571933,0.9732127094406412,56365.0,49844.0,1.13082818393387,3.2,26426.0,2249711.0,1.17463976484091,11.8,39144818,94.95,5.22,4303.7,2124.1,12.7,5.28,0.59,95.1641772809188,4.83582271908122,1.73065762546199,2015-06-08 00:00:00,,Jun,True
2008,7,California,CA,WECC,West,-0.4,normal,2008-07-02,16:00:00,,,fuel supply emergency,,,,,,14.4,13.97,11.24,13.62,9334131.0,12179013.0,4701134.0,26288469.0,35.5065599293744,46.3283464700816,17.8828748072016,12941717.0,1807261.0,77326.0,14826792.0,87.28602249225591,12.1891573038861,0.5215288647739849,54713.0,48401.0,1.13041052870808,-0.5,29081.0,2002744.0,1.45205777673033,11.3,36604337,94.95,5.22,4303.7,2124.1,12.7,5.28,0.59,95.1641772809188,4.83582271908122,1.73065762546199,2008-07-02 16:00:00,,Jul,True
2013,5,California,CA,WECC,West,-0.2,normal,2013-05-13,12:52:00,,,fuel supply emergency,Hydro,,,176,,15.92,13.82,10.9,13.8,6603777.0,9866912.0,4782355.0,21327504.0,30.9636655091004,46.2637915810495,22.4234162609933,13256426.0,1691627.0,159483.0,15107549.0,87.74703295683503,11.197229941137374,1.05565105233152,53487.0,48396.0,1.10519464418547,1.6,27856.0,2055578.0,1.35514196007157,12.3,38414128,94.95,5.22,4303.7,2124.1,12.7,5.28,0.59,95.1641772809188,4.83582271908122,1.73065762546199,2013-05-13 12:52:00,,May,True
2014,5,California,CA,WECC,West,-0.1,normal,2014-05-14,15:34:00,,,severe weather,wildfire,,,,426,16.46,14.65,11.35,14.47,6398637.0,9731089.0,4512087.0,20712609.0,30.8924723099828,46.9814739417907,21.7842522880628,13256068.0,1676201.0,146944.0,15079226.0,87.90947227662747,11.115961787428612,0.9744797246224707,54606.0,49091.0,1.11234238455114,2.1,26449.0,2118858.0,1.24826675501615,11.7,38792291,94.95,5.22,4303.7,2124.1,12.7,5.28,0.59,95.1641772809188,4.83582271908122,1.73065762546199,2014-05-14 15:34:00,,May,True
